Address,CommandResponse,ControlMode,ControlScheme,CRC,DataLength,FunctionCode,InvalidDataLength,InvalidFunctionCode,PIDCycleTime,PIDDeadband,PIDGain,PIDRate,PIDReset,PipelinePSI,PumpState,SetPoint,SolenoidState,TimeInterval,deltaPIDCycleTime,deltaPIDDeadband,deltaPIDGain,deltaPIDRate,deltaPIDReset,deltaPipelinePSI,deltaSetPoint, Label
0x4,Response,X,X,4536,4,0x10,X,X,0.0,0.0,0.0,0.0,0.0,0.0,X,0.0,X,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Good
0x4,Response,X,X,3439,19,0x3,X,X,0.0,0.0,0.0,0.0,0.0,0.19540231,OffPumpState,0.0,OffSolenoidState,604,0.0,0.0,0.0,0.0,0.0,0.19540231,0.0,Good
0x4,Response,X,X,4536,4,0x10,X,X,0.0,0.0,0.0,0.0,0.0,0.0,X,0.0,X,682,0.0,0.0,0.0,0.0,0.0,-0.19540231,0.0,Good
0x4,Response,X,X,3533,19,0x3,X,X,0.0,0.0,0.0,0.0,0.0,0.20689654,OffPumpState,0.0,OffSolenoidState,565,0.0,0.0,0.0,0.0,0.0,0.20689654,0.0,Good
0x4,Response,X,X,4536,4,0x10,X,X,0.0,0.0,0.0,0.0,0.0,0.0,X,0.0,X,655,0.0,0.0,0.0,0.0,0.0,-0.20689654,0.0,Good
0x4,Response,X,X,3438,19,0x3,X,X,0.0,0.0,0.0,0.0,0.0,0.19540231,OffPumpState,0.0,OffSolenoidState,676,0.0,0.0,0.0,0.0,0.0,0.19540231,0.0,Good
0x4,Response,X,X,4536,4,0x10,X,X,0.0,0.0,0.0,0.0,0.0,0.0,X,0.0,X,638,0.0,0.0,0.0,0.0,0.0,-0.19540231,0.0,Good
0x4,Response,X,X,3631,19,0x3,X,X,0.0,0.0,0.0,0.0,0.0,0.22988506,OffPumpState,0.0,OffSolenoidState,564,0.0,0.0,0.0,0.0,0.0,0.22988506,0.0,Good
0x4,Response,X,X,4536,4,0x10,X,X,0.0,0.0,0.0,0.0,0.0,0.0,X,0.0,X,621,0.0,0.0,0.0,0.0,0.0,-0.22988506,0.0,Good
0x4,Response,X,X,3432,19,0x3,X,X,0.0,0.0,0.0,0.0,0.0,0.18390805,OffPumpState,0.0,OffSolenoidState,603,0.0,0.0,0.0,0.0,0.0,0.18390805,0.0,Good
0x4,Response,X,X,4536,4,0x10,X,X,0.0,0.0,0.0,0.0,0.0,0.0,X,0.0,X,754,0.0,0.0,0.0,0.0,0.0,-0.18390805,0.0,Good
0x4,Response,X,X,3439,19,0x3,X,X,0.0,0.0,0.0,0.0,0.0,0.19540231,OffPumpState,0.0,OffSolenoidState,595,0.0,0.0,0.0,0.0,0.0,0.19540231,0.0,Good
0x4,Response,X,X,4536,4,0x10,X,X,0.0,0.0,0.0,0.0,0.0,0.0,X,0.0,X,646,0.0,0.0,0.0,0.0,0.0,-0.19540231,0.0,Good
0x4,Response,X,X,3431,19,0x3,X,X,0.0,0.0,0.0,0.0,0.0,0.18390805,OffPumpState,0.0,OffSolenoidState,640,0.0,0.0,0.0,0.0,0.0,0.18390805,0.0,Good
0x4,Response,X,X,4536,4,0x10,X,X,0.0,0.0,0.0,0.0,0.0,0.0,X,0.0,X,656,0.0,0.0,0.0,0.0,0.0,-0.18390805,0.0,Good
0x4,Response,X,X,3432,19,0x3,X,X,0.0,0.0,0.0,0.0,0.0,0.18390805,OffPumpState,0.0,OffSolenoidState,604,0.0,0.0,0.0,0.0,0.0,0.18390805,0.0,Good
0x4,Response,X,X,4536,4,0x10,X,X,0.0,0.0,0.0,0.0,0.0,0.0,X,0.0,X,746,0.0,0.0,0.0,0.0,0.0,-0.18390805,0.0,Good
0x4,Response,X,X,3438,19,0x3,X,X,0.0,0.0,0.0,0.0,0.0,0.19540231,OffPumpState,0.0,OffSolenoidState,604,0.0,0.0,0.0,0.0,0.0,0.19540231,0.0,Good
0x4,Response,X,X,4536,4,0x10,X,X,0.0,0.0,0.0,0.0,0.0,0.0,X,0.0,X,682,0.0,0.0,0.0,0.0,0.0,-0.19540231,0.0,Good
0x4,Response,X,X,3431,19,0x3,X,X,0.0,0.0,0.0,0.0,0.0,0.18390805,OffPumpState,0.0,OffSolenoidState,715,0.0,0.0,0.0,0.0,0.0,0.18390805,0.0,Good
0x4,Response,X,X,4536,4,0x10,X,X,0.0,0.0,0.0,0.0,0.0,0.0,X,0.0,X,684,0.0,0.0,0.0,0.0,0.0,-0.18390805,0.0,Good
0x4,Response,X,X,3533,19,0x3,X,X,0.0,0.0,0.0,0.0,0.0,0.20689654,OffPumpState,0.0,OffSolenoidState,576,0.0,0.0,0.0,0.0,0.0,0.20689654,0.0,Good
0x4,Response,X,X,4536,4,0x10,X,X,0.0,0.0,0.0,0.0,0.0,0.0,X,0.0,X,634,0.0,0.0,0.0,0.0,0.0,-0.20689654,0.0,Good
0x4,Response,X,X,3438,19,0x3,X,X,0.0,0.0,0.0,0.0,0.0,0.19540231,OffPumpState,0.0,OffSolenoidState,567,0.0,0.0,0.0,0.0,0.0,0.19540231,0.0,Good
0x4,Response,X,X,4536,4,0x10,X,X,0.0,0.0,0.0,0.0,0.0,0.0,X,0.0,X,683,0.0,0.0,0.0,0.0,0.0,-0.19540231,0.0,Good
